Time_s,L5S1 (low back / sacrum),RASIS (right hip / pelvis),RLAKN (right knee),RLAMA (right ankle),RDIFT (right toe / forefoot)
0.636,1081.061646,1061.233032,593.22229,193.934769,92.835602
0.64,1082.12146,1061.446533,592.934082,186.611618,89.679741
0.644,1082.984619,1061.161377,592.269958,183.941315,88.473312
0.648,1084.300659,1063.993896,591.730896,177.676559,86.916016
0.652,1084.453979,1064.688232,591.82312,171.645523,87.390434
0.656,1084.518921,1064.884277,588.205994,166.459778,87.655403
0.66,1083.921753,1064.571167,585.535706,161.864548,87.475342
0.664,1084.29895,1064.013428,583.238831,156.741592,86.866188
0.668,1084.108398,1062.747437,581.479675,153.618225,88.38327
0.672,1083.832886,1061.455566,580.212646,150.70697,89.994034
0.676,1083.314697,1060.206299,577.289673,147.758453,90.443054
0.68,1081.333496,1058.614014,574.521423,144.29512,90.224457
0.684,1079.721924,1056.343262,571.376587,141.880997,91.082565
0.688,1078.223755,1053.733276,566.723145,141.00029,92.685753
0.692,1076.188599,1051.103516,564.706726,139.510147,93.925453
0.696,1074.154541,1048.266968,561.684937,136.253418,93.939743
0.7,1071.69751,1046.771606,558.169189,135.153915,93.418671
0.704,1069.840576,1044.853149,555.529602,134.572266,93.287819
0.708,1067.312866,1042.464233,552.83197,132.948349,91.965637
0.712,1064.651733,1039.132568,549.804504,130.948746,88.841492
0.716,1061.809326,1035.145752,546.48407,128.7901,85.622101
0.72,1058.602783,1031.826904,543.425598,126.457222,82.918152
0.724,1056.218872,1029.419434,541.082886,123.924316,79.785149
0.728,1052.620728,1026.737671,539.29541,121.785225,74.915596
0.732,1048.557617,1022.831543,535.869263,118.234726,70.574661
0.736,1045.425781,1017.744141,532.401855,113.505371,66.055504
0.74,1041.377686,1015.071472,529.217346,110.07576,62.18108
0.744,1037.099854,1011.722961,526.50647,107.603264,52.190826
0.748,1033.361938,1007.952698,523.373535,104.609245,46.018214
0.752,1029.617432,1004.392578,519.688538,100.367836,43.695165
0.756,1025.940796,1000.941284,516.351013,97.596718,43.790635
0.76,1021.624695,996.380859,513.755676,95.467697,44.873581
0.764,1017.874573,991.605286,511.118988,87.767227,46.949577
0.768,1010.840576,990.078003,508.326385,87.919785,46.249729
0.772,1007.440857,985.35907,505.40921,85.748955,44.690575
0.776,1002.148499,980.499512,501.965424,83.033417,44.170856
0.78,997.681824,976.065125,498.615356,81.764816,44.170856
0.784,992.618286,971.369385,495.185516,81.134018,44.170856
0.788,988.550232,966.980469,489.84198,80.425087,44.170856
0.792,984.849731,962.89032,486.112152,80.091423,44.170856
0.796,978.869751,958.720581,483.38028,80.749321,44.170856
0.8,974.095947,955.3349,476.613098,80.680351,44.195835
