Time_s,L5S1 (low back / sacrum),RLAKN (right knee),RASIS (right hip / pelvis),RLAMA (right ankle),RDIFT (right toe / forefoot)
0.552,975.347534,490.90567,961.75946,115.744713,42.243385
0.556,974.586487,489.833374,960.841675,117.567345,42.033829
0.56,973.735107,489.490723,960.152893,120.213364,41.73605
0.564,973.975647,489.796814,959.314941,122.124283,41.720688
0.568,972.135742,489.468536,958.522156,124.556587,41.956169
0.572,971.045288,488.951294,958.267395,126.361282,42.303722
0.576,971.873718,488.458832,958.167725,128.632706,42.327583
0.58,971.878113,488.17572,956.383606,131.383896,42.046062
0.584,970.608093,488.35141,956.695129,134.141922,41.839149
0.588,971.421509,488.571808,956.683289,137.047165,41.660625
0.592,972.273865,488.257751,956.811646,140.202927,41.507851
0.596,972.208801,487.300842,956.398743,143.081146,41.39901
0.6,971.583374,486.875061,955.979248,145.998444,41.173935
0.604,971.116882,485.821228,956.112061,149.492813,40.6427
0.608,972.111328,484.44873,955.68811,153.197342,40.111691
0.612,973.802673,482.858459,955.230896,157.120499,40.076546
0.616,972.840149,483.434143,955.004028,160.017776,40.169373
0.62,974.942627,482.811188,954.94696,163.778442,39.780575
0.624,974.06543,481.786865,955.294678,167.02681,38.901924
0.628,976.926392,480.335144,956.021362,170.213989,38.228718
0.632,977.328003,478.861053,956.571472,172.951324,38.217838
0.636,976.534363,477.684875,956.380005,174.72644,38.546402
0.64,977.913879,476.721466,956.478699,177.846161,39.253239
0.644,979.798584,475.726044,957.538391,180.993713,39.90694
0.648,981.389587,474.642975,958.319214,183.818939,40.070709
0.652,982.400269,473.614838,959.154053,185.679932,42.505302
0.656,981.98468,472.853149,959.818848,189.548508,44.297878
0.66,981.944946,471.245087,961.076782,192.484573,46.620552
0.664,983.156006,469.888611,961.488708,195.422028,49.375332
0.668,984.260986,469.747559,962.304993,198.600479,51.98299
0.672,984.789734,470.098053,963.249756,202.812485,55.178978
0.676,985.545166,469.667328,964.217896,205.892059,58.701069
0.68,986.117493,469.736969,965.137024,208.70636,61.251289
0.684,986.378662,469.348328,965.501343,212.040558,63.622242
0.688,986.753784,469.61203,965.9508060000001,215.659409,65.207848
0.692,987.49408,469.959625,966.76947,218.569397,70.093491
0.696,988.270935,470.537292,967.106384,221.02005,72.785614
0.7,988.354065,471.211212,967.156738,223.636017,74.781754
0.704,988.662109,471.006866,967.549316,226.286118,76.614563
0.708,988.817261,473.227539,967.76001,228.433502,78.39994
0.712,988.961243,474.565063,967.710754,230.217178,79.753876
0.716,989.779419,475.919647,967.805359,231.4608,81.824928
0.72,991.157532,477.038391,968.399597,232.877808,83.440491
0.724,991.936401,479.050262,968.422241,233.709915,84.865494
0.728,992.17395,480.736328,968.513184,233.418198,87.527115
0.732,993.019348,482.588623,968.691162,235.061249,87.165382
0.736,994.202698,484.858124,969.313782,235.383545,86.76886
0.74,994.951294,488.344635,970.052002,235.57045,89.325806
0.744,995.593567,487.969604,970.375488,237.420746,88.413818
0.748,996.266541,489.550568,970.999146,235.686249,90.346603
0.752,996.80719,491.050568,971.979858,237.63913,89.829422
0.756,997.312256,493.702301,972.948059,235.928131,93.312225
0.76,997.817688,494.927948,973.533386,235.694992,89.412949
0.764,998.322754,496.621155,975.030701,233.861694,89.553123
0.768,998.603027,498.382416,976.869202,233.103149,89.092415
0.772,998.916443,500.262177,977.228516,232.521255,88.920815
0.776,999.789917,500.841614,978.939453,231.588654,89.207657
0.78,1000.654358,501.196777,979.260559,229.000351,87.860481
0.784,1000.747498,504.967804,980.602722,226.657883,86.93766
0.788,1000.590515,505.401337,981.556335,225.040405,86.613617
0.792,1000.649719,506.387054,982.703491,224.156784,86.022903
0.796,1000.726379,508.501129,983.764587,219.683487,84.124542
0.8,1001.125793,508.775879,984.44635,216.948013,84.206131
0.804,1001.590271,509.957336,984.936584,213.907135,82.990913
0.808,1001.735901,511.322571,985.291077,211.863876,80.483719
